instant_hour,dteday,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,day_type,instant_day,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,season_label,weather_label
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,Akhir Pekan,2,1,0,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Cloudy
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.194,8,102,110,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,Hari Kerja,3,1,0,1,0,2,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Clear
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.194,0,48,48,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,Hari Kerja,4,1,0,1,0,3,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Clear
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.194,0,6,6,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.194,1,18,19,Hari Kerja,5,1,0,1,0,4,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Clear
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.194,0,11,11,Hari Kerja,6,1,0,1,0,5,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Winter,Clear
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.194,0,4,4,Hari Kerja,6,1,0,1,0,5,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Winter,Clear
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.194,0,2,2,Hari Kerja,6,1,0,1,0,5,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Winter,Clear
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,Hari Kerja,6,1,0,1,0,5,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Winter,Clear
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,Hari Kerja,6,1,0,1,0,5,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Winter,Clear
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,Hari Kerja,6,1,0,1,0,5,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Winter,Clear
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.194,0,95,95,Hari Kerja,6,1,0,1,0,5,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Winter,Clear
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.194,3,216,219,Hari Kerja,6,1,0,1,0,5,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Winter,Clear
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.194,6,116,122,Hari Kerja,6,1,0,1,0,5,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Winter,Clear
